"","avg_price","coral_cover","dist_to_reef","dive_site","beach_width","near_dist_beach","dist_to_access_points","class","rating","num_reviews","number_rooms","air_trans","bar","beachfront","biz_center","breakfast","concierge","conference","free_parking","gym","laundry","mtg_rooms","multilingual","no_smoke","wheelchair","wifi","dist_to_airport"
"130",479.5,63272560.02,578.4056055,"1",100.3729168,207.4206903,756.5704973,4,4.5,2223,52,"0","1","1","0","0","1","0","0","1","1","0","1","1","1","0",14946.21164
"131",432.5,61231572.96,1659.970295,"1",125.8289123,1363.821519,1347.141169,4.5,4.5,4792,215,"0","1","0","1","0","1","1","0","1","0","1","1","1","1","1",13734.91503
"132",444.5,54503366.51,713.4248198,"1",100.8873109,255.2517798,824.9733527,4,4.5,324,96,"0","1","0","0","0","1","0","0","1","1","0","1","1","1","1",14912.03453
"133",429.5,54232722,901.5052912,"1",82.94462063,436.4691182,435.1635551,4.5,4.5,673,109,"0","1","0","0","0","1","0","0","0","1","0","1","1","1","1",14871.62346
"134",422.5,54371950.94,726.6642542,"1",113.9451018,269.9326101,578.3622225,4.5,4,2029,87,"0","1","0","0","0","1","0","0","1","0","0","1","1","1","0",14933.74607
"135",440,52061239.68,649.4278092,"1",81.44260215,209.3423609,246.5077174,4,3.5,83,19,"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1",14874.18988
"136",412.5,54436636.91,651.6339912,"1",115.9177146,193.0738844,573.430362,4,4,1849,152,"0","1","1","1","0","1","1","0","1","1","1","1","1","1","1",15004.92339
"137",395,54379471.64,615.2551211,"1",112.7926689,158.613793,226.0668292,4,4,3937,309,"0","1","1","1","0","1","1","0","1","1","1","1","0","1","1",15111.01121
"138",413.5,54397972.43,751.3623931,"1",113.6323553,296.8098947,469.7761576,4,4.5,1522,69,"1","1","0","0","0","0","0","0","0","1","0","1","1","1","1",14931.31019
"139",373.5,63270433.22,482.2410737,"1",107.7590651,161.7041648,632.6319711,3,4,589,25,"0","0","1","0","0","1","0","0","0","0","0","1","1","1","0",14983.88001
"140",403.5,62304569.71,452.2080515,"1",110.9654286,175.1803995,410.0269348,4,4,2764,75,"0","1","1","0","1","1","0","0","0","1","0","1","1","1","1",14901.30242
"141",369,62062503.64,483.9181072,"1",98.79707706,223.8704485,458.9678384,4,4,1027,42,"0","0","0","0","0","1","0","0","0","1","0","1","1","1","1",14846.85738
"142",368.5,54351972.99,801.4623187,"1",112.4780989,342.9187355,452.7689994,3.5,4.5,2843,98,"0","1","0","0","0","1","0","0","0","1","0","1","1","1","1",14900.60929
"143",341,63095852.31,422.250667,"1",106.071792,162.300056,334.212644,3.5,3.5,595,27,"0","1","1","0","0","0","0","0","0","0","0","1","1","0","1",14957.79374
"144",394.5,54340912.89,836.0325206,"1",115.4080904,378.1869346,654.4698851,3.5,4.5,231,24,"0","1","0","0","1","1","0","0","1","1","0","0","1","1","1",14823.44782
"145",363,54433691.24,624.2239552,"1",112.2031655,171.2580996,416.7761752,3.5,4,672,112,"0","1","1","0","0","1","1","0","0","1","1","1","1","1","1",15052.18178
"146",371.5,63086349.64,497.2551057,"1",116.9923334,218.9629422,247.735563,4,4.5,2633,108,"0","1","0","0","0","1","0","0","0","1","0","1","1","1","0",14891.22512
"147",350.5,63272560.02,566.1201857,"1",101.0026212,214.1568161,724.5793927,3,5,7,40,"0","0","1","0","0","1","0","0","0","0","1","1","1","1","0",14938.18761
"148",359.5,62919636.14,804.9489483,"1",100.374444,417.6887634,906.134398,3,3.5,80,90,"0","0","0","1","0","1","1","0","1","1","1","1","1","1","1",14739.79425
"149",373,63114725.08,492.6862499,"1",126.3066034,170.3936218,153.5151215,3.5,4,1503,60,"0","1","0","0","0","1","0","0","0","0","0","1","1","1","1",14933.53222
"150",347.5,54433691.24,741.7740512,"1",111.9891702,285.721803,559.9893668,2.5,4.5,711,69,"0","1","0","1","1","1","0","0","0","0","0","1","1","1","1",14923.06098
"151",376.5,61634558.73,611.247533,"1",125.3831231,274.6922668,264.6093177,4,4,1829,75,"0","1","0","0","0","1","0","0","0","1","0","1","1","1","1",14822.28995
